1일 뒤 종가,2일 뒤 종가,3일 뒤 종가,4일 뒤 종가,5일 뒤 종가,거래량,개인,기관,외인수량,외국계,프로그램,공시-변동 차이,변동전,증감,보고구분_변동,보고구분_신규,보고자 구분_개인(국내),보고자 구분_개인(외국),보고자 구분_연기금등 전문투자자,임원_-,임원_등기임원,임원_비등기임원,직위명_ 상무,직위명_-,직위명_대표이사 부회장,직위명_대표이사 사장,직위명_대표이사부회장,직위명_대표이사회장,직위명_부사장,직위명_부회장,직위명_사외이사,직위명_사장,직위명_상무,직위명_상임고문,직위명_전무,직위명_회장,주요주주_-,주요주주_10%이상주주,주요주주_사실상지배주주,변동사유_계열사편입(+),변동사유_기타(+),변동사유_기타(-),변동사유_상속(+),변동사유_시간외매매(-),변동사유_신규등록(+),변동사유_신규보고(+),변동사유_신규선임(+),변동사유_신규주요주주(+),변동사유_임원퇴임(-),변동사유_장내매도(-),변동사유_장내매수(+),변동사유_장외매도(-),변동사유_주식매수선택권(+),변동사유_주식분할,변동사유_증여(-),변동사유_피상속(-),특정증권등의 종류_기타,특정증권등의 종류_보통주,특정증권등의 종류_우선주,상장주식수,년,월,일,요일
1.0,0.0,0.0,0.0,1.0,0.2569485717700052,-0.000474992175385,-0.0010235883717406,0.0225938715305467,0.0006081796061399,0.0004496813707226,1,0.0,2.5126543344531032e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,8,4
1.0,0.0,0.0,0.0,1.0,0.2569485717700052,-0.000474992175385,-0.0010235883717406,0.0225938715305467,0.0006081796061399,0.0004496813707226,3860,0.0,0.0001005061733781,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,5969782550.0,2022,7,8,4
1.0,1.0,0.0,0.0,0.0,0.3571793917351311,-0.0041635687383621,0.0016038440127103,0.0387334878721838,0.0012956920851329,0.001854874931751,2,0.0001172572022744,3.350205779270804e-05,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5969782550.0,2022,7,7,3
1.0,1.0,1.0,1.0,1.0,0.2817600282609959,0.0021850042092404,-0.002053826901953,-0.0108092211834415,1.0519646146910324e-05,0.001786513982825,6,0.0,8.375514448177011e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,6,2
1.0,1.0,1.0,1.0,1.0,0.2817600282609959,0.0021850042092404,-0.002053826901953,-0.0108092211834415,1.0519646146910324e-05,0.001786513982825,6,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,6,2
1.0,1.0,1.0,1.0,1.0,0.2817600282609959,0.0021850042092404,-0.002053826901953,-0.0108092211834415,1.0519646146910324e-05,0.001786513982825,2,6.700411558541609e-07,5.025308668906206e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,7,6,2
0.0,1.0,1.0,0.0,1.0,0.3168480902206396,0.0038330709382371,-0.000950788400157,-0.0485080817558421,-0.002191369600221,-0.003559459632244,0,0.0,3.350205779270804e-05,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,30,3
0.0,0.0,0.0,0.0,0.0,0.2268179433101797,0.0008876705232755,-0.001049217445952,0.0101471032642554,0.0003479188701772,0.0003046007094513,7,0.0,1.407086427293738e-06,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,28,1
0.0,0.0,0.0,0.0,0.0,0.2268179433101797,0.0008876705232755,-0.001049217445952,0.0101471032642554,0.0003479188701772,0.0003046007094513,6,1.407086427293738e-06,1.440588485086446e-06,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,28,1
1.0,0.0,0.0,0.0,0.0,0.3035660989025471,0.0008420574715908,-0.0022233473143841,0.0153861048087924,0.0014433021517676,-0.0007789395947093,4,8.442518563762428e-06,3.3502057792708045e-06,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5969782550.0,2022,6,27,0
